Date,Location,Temperature,Rainfall,Humidity,Water_source_quality,Sanitation_facilities,Population_density,Access_to_healthcare,Previous_outbreak_history,Reported_cases
2023-06-01,South Alexis,28.1,8.9,54.9,Unsafe,Improved,1471,7.9,4,5
2024-02-13,North Amber,32.4,0.4,72.8,Safe,Unimproved,8580,20.7,3,5
2025-04-18,New Connorchester,33.3,25.7,78.5,Safe,Improved,9658,14.8,1,3
2023-12-02,South Linda,29.1,29.5,40.6,Safe,Unimproved,1513,27.4,3,8
2023-07-04,Davidburgh,23.1,4.1,66.6,Safe,Improved,1929,13.8,1,0
2023-10-12,Wufurt,26.4,24.9,89.8,Unsafe,Unimproved,4103,29.3,1,9
2023-08-29,Lake Eric,27.1,1.0,55.4,Unsafe,Improved,4576,25.1,3,8
2024-12-30,Rickytown,24.8,6.5,52.2,Safe,Improved,6796,18.1,2,0
2023-09-04,Lake Amandaburgh,31.9,43.6,48.4,Unsafe,Unimproved,7178,21.6,3,10
2023-12-29,South Lisaport,33.3,17.3,53.9,Safe,Unimproved,6763,13.2,0,5
2023-07-26,North Sarah,14.3,13.0,41.1,Safe,Improved,2518,25.5,1,0
2023-11-10,Kaylaview,31.4,0.0,52.1,Safe,Improved,3003,20.9,1,3
2024-06-14,East Kimview,25.3,7.7,61.0,Unsafe,Unimproved,6718,6.7,0,9
2025-04-25,South Ashley,26.7,27.3,66.1,Unsafe,Unimproved,5641,25.6,0,9
2024-10-13,Snydertown,24.1,41.8,59.9,Safe,Unimproved,2173,11.5,4,8
2024-01-06,Port Monica,21.3,1.1,47.5,Unsafe,Unimproved,9477,20.3,0,9
2024-02-12,Coletown,21.5,22.2,78.5,Unsafe,Improved,3702,8.5,2,5
2024-09-02,Berryview,24.5,13.5,53.2,Unsafe,Unimproved,4782,27.3,2,9
2025-05-07,Kevinbury,25.9,19.1,70.2,Safe,Unimproved,9339,29.9,2,4
2024-12-24,East Joseph,35.3,13.6,88.8,Unsafe,Unimproved,6078,11.0,0,7
2025-02-28,Robertview,26.2,29.4,44.5,Unsafe,Improved,6435,16.8,1,6
2024-07-25,Port Michellemouth,29.5,15.0,46.8,Unsafe,Unimproved,9519,8.8,4,9
2024-08-26,Lake Keithshire,32.7,4.4,80.6,Safe,Unimproved,1814,18.4,1,9
2023-05-31,Wrightstad,19.9,3.7,53.0,Unsafe,Improved,8094,14.5,2,5
2025-04-14,Port Gabriel,25.1,7.7,64.7,Safe,Unimproved,5115,10.3,4,8
2024-10-15,Barnesfort,20.2,43.0,76.7,Unsafe,Unimproved,5004,2.5,0,7
2023-07-18,South Wendy,21.2,12.3,47.8,Safe,Improved,2640,21.2,2,1
2025-02-23,Benderberg,29.9,0.5,66.5,Safe,Unimproved,7368,22.1,2,4
2023-06-29,Melissaview,34.0,13.0,55.5,Unsafe,Unimproved,996,24.3,4,13
2024-08-10,Eileenshire,32.8,27.6,73.1,Safe,Improved,2869,19.1,0,1
2023-11-18,North Heatherfort,29.1,16.6,72.7,Safe,Unimproved,4022,9.0,0,5
2025-04-19,Taraside,23.0,0.5,79.8,Safe,Improved,3414,0.8,3,4
2025-01-27,North Oliviaburgh,30.3,1.4,73.9,Unsafe,Improved,1703,9.9,1,9
2023-12-18,South Christopherchester,27.8,12.4,86.9,Unsafe,Improved,3730,24.6,3,2
2024-06-19,East Raymondview,35.0,3.5,82.7,Unsafe,Unimproved,3667,7.8,4,17
2024-04-25,Port Johnside,33.2,2.4,74.7,Unsafe,Improved,249,6.1,3,13
2024-10-29,West Markstad,25.7,47.2,43.5,Unsafe,Unimproved,1377,15.8,0,2
2024-12-26,Williamborough,33.3,6.8,42.5,Unsafe,Improved,4203,5.9,2,3
2024-10-02,South Kristenland,24.5,26.0,78.6,Unsafe,Unimproved,4271,15.3,0,5
2023-12-20,East Isaac,34.0,1.4,86.7,Safe,Unimproved,5991,26.3,1,7
2023-09-15,West Jeffreychester,37.0,2.6,88.7,Unsafe,Improved,9569,7.7,2,6
2023-12-21,Ryanmouth,26.8,7.3,84.0,Unsafe,Unimproved,6298,18.1,1,6
2024-12-05,New Maurice,28.9,9.3,82.2,Safe,Improved,4957,7.1,1,0
2024-02-20,Robinborough,22.8,4.5,51.0,Safe,Unimproved,1715,22.6,4,13
2023-07-29,Jamestown,30.9,3.3,59.4,Safe,Improved,471,23.0,3,7
2024-01-11,Michaelborough,21.4,13.8,57.1,Unsafe,Improved,6482,3.7,4,6
2024-01-04,South Timothyton,24.8,34.9,43.6,Unsafe,Unimproved,7957,28.3,2,14
2024-01-22,Andersonport,24.5,2.7,49.0,Safe,Unimproved,1011,20.9,1,4
2024-08-17,Harrischester,36.6,32.8,53.9,Unsafe,Unimproved,1056,1.8,3,9
2024-06-05,Lake Patricia,32.7,22.6,44.2,Safe,Unimproved,6074,22.9,1,5
2024-05-15,New Robert,23.1,20.3,72.3,Unsafe,Unimproved,4152,9.2,3,15
2023-11-17,Denisetown,27.3,10.5,63.6,Unsafe,Unimproved,8336,14.2,4,18
2024-01-20,Thompsonside,28.9,67.0,66.2,Unsafe,Improved,2042,19.4,4,14
2024-12-06,Cindyberg,25.0,17.1,87.1,Unsafe,Improved,4548,4.1,0,5
2024-07-08,North Peter,21.6,100.6,54.0,Unsafe,Improved,242,19.5,1,5
2024-10-26,South Cassandramouth,36.4,7.4,54.3,Safe,Improved,9983,28.7,0,2
2024-06-04,Walshhaven,23.7,49.2,74.4,Unsafe,Unimproved,346,6.6,2,6
2023-05-16,Port Kennethside,23.4,1.9,58.1,Unsafe,Unimproved,6310,10.3,3,8
2023-08-14,West Wayne,26.0,6.5,59.0,Unsafe,Unimproved,1510,9.3,1,6
2024-12-16,West Kerry,29.7,18.4,49.2,Unsafe,Unimproved,6458,9.0,4,9
2024-12-11,Davidbury,35.5,18.2,77.8,Safe,Improved,4055,4.0,2,2
2024-04-17,Fieldsmouth,19.4,12.3,67.2,Unsafe,Unimproved,6063,2.4,3,9
2024-01-24,North Meredithfort,29.2,11.2,58.3,Safe,Improved,9338,29.6,1,0
2023-09-30,Smithton,21.9,18.3,50.5,Safe,Unimproved,461,29.7,1,5
2024-01-05,Natalieborough,27.2,21.7,56.7,Safe,Unimproved,1366,2.0,0,3
2024-06-04,East Kristymouth,34.1,5.2,53.3,Safe,Improved,793,9.4,0,0
2024-11-13,Angelaborough,37.0,4.6,70.6,Unsafe,Improved,7755,1.6,3,11
2023-10-14,East Victor,38.9,56.5,45.3,Unsafe,Unimproved,6347,4.5,2,19
2024-08-17,Angelahaven,24.3,11.1,77.8,Unsafe,Unimproved,4558,11.0,2,17
2025-01-10,East Andrea,35.2,45.4,61.7,Unsafe,Improved,594,5.1,0,2
2024-08-16,Leonardmouth,18.6,1.4,84.5,Safe,Unimproved,9751,26.6,4,14
2024-05-18,Williamburgh,22.0,4.3,85.8,Safe,Improved,5123,23.4,2,3
2023-08-14,Alexanderfurt,30.8,21.9,46.0,Unsafe,Improved,7072,27.7,3,12
2024-03-22,Longfurt,22.6,0.9,83.0,Safe,Unimproved,6151,25.9,1,3
2024-09-07,South Ericchester,31.5,8.0,40.8,Safe,Improved,8185,12.6,1,2
2023-06-12,West Abigailland,32.0,8.2,87.3,Unsafe,Unimproved,9011,11.8,0,15
2024-06-28,Shawnport,36.6,3.9,69.7,Unsafe,Improved,1900,19.9,1,11
2023-12-08,Lake Thomas,34.2,5.8,44.7,Safe,Improved,8370,22.3,2,4
2024-02-13,Jessicatown,41.5,12.5,52.0,Unsafe,Improved,3377,25.4,0,5
2024-11-02,North Heidi,26.0,64.7,51.9,Safe,Improved,1074,15.5,3,7
2023-12-29,South Lisatown,26.2,6.8,86.1,Unsafe,Improved,338,3.4,0,3
2024-10-23,Padillaburgh,28.7,7.3,48.5,Unsafe,Unimproved,8555,27.3,1,5
2025-03-02,Lopezmouth,25.3,8.3,80.1,Unsafe,Unimproved,4875,8.9,2,11
2025-04-11,East Karen,28.0,28.6,89.9,Safe,Improved,8335,16.0,4,3
2023-12-24,Lake Tyler,29.9,4.0,71.1,Unsafe,Unimproved,8551,11.2,2,5
2025-04-07,Lake Brittany,39.5,32.2,86.1,Unsafe,Improved,2450,14.9,1,4
2023-07-30,Kristinburgh,26.5,7.9,80.6,Safe,Unimproved,2566,19.5,2,2
2024-07-09,Corybury,27.3,12.8,48.3,Unsafe,Unimproved,6477,2.4,3,12
2024-03-16,New Zacharyfurt,18.6,1.0,41.1,Safe,Unimproved,5997,24.8,4,11
2023-11-25,Rubentown,30.1,6.2,54.1,Unsafe,Improved,2697,2.5,4,10
2025-03-12,Aguilarton,21.6,28.9,76.3,Unsafe,Improved,4163,3.0,4,5
2023-11-02,North Tasha,26.2,11.2,81.6,Safe,Unimproved,1586,3.8,2,6
2023-07-15,Chelseaport,29.0,4.0,52.2,Safe,Unimproved,854,12.1,3,7
2023-12-09,South Davidberg,30.2,10.0,76.8,Safe,Improved,8164,3.9,4,3
2025-05-11,Chrisbury,16.9,23.0,56.9,Safe,Improved,3612,17.1,2,1
2024-12-03,Robertsborough,26.8,9.3,67.3,Unsafe,Improved,6147,17.9,4,8
2024-04-08,Lake Darrell,27.0,43.7,86.9,Unsafe,Unimproved,2205,28.8,0,6
2023-05-14,Spencerville,23.2,5.9,69.6,Safe,Improved,8877,15.7,0,0
2023-09-13,East Wendytown,28.2,14.6,75.7,Unsafe,Unimproved,5313,27.5,0,6
2024-01-26,Julieburgh,22.8,34.8,40.2,Safe,Improved,5489,2.7,3,1
2024-07-11,Smithview,28.5,4.8,83.8,Unsafe,Unimproved,1375,29.6,2,9
2023-06-17,Taraton,34.0,72.6,45.0,Unsafe,Improved,8544,1.3,1,10
2023-06-05,West Pamela,26.1,77.0,76.6,Safe,Improved,7193,5.3,1,5
2024-10-21,Colemantown,32.8,24.7,80.6,Safe,Unimproved,9254,8.0,4,14
2023-10-30,East Mario,30.4,13.4,60.3,Unsafe,Unimproved,3392,3.8,3,5
2024-02-21,Brookeborough,28.1,15.0,75.8,Unsafe,Improved,8595,9.4,1,7
2025-05-03,Port Angela,22.5,37.2,58.0,Unsafe,Unimproved,1623,4.8,3,13
2023-11-21,Lake David,25.0,3.5,69.5,Safe,Improved,2599,9.9,1,1
2025-05-10,Jimmyberg,29.2,74.5,69.6,Unsafe,Improved,4833,24.8,1,8
2024-03-19,Leview,31.0,18.7,46.2,Safe,Unimproved,3661,8.7,3,12
2024-11-19,Tracyborough,30.7,3.3,74.7,Safe,Improved,9499,24.5,4,5
2023-09-10,Phillipchester,19.3,25.6,54.4,Safe,Improved,9355,1.4,4,3
2025-03-06,New Bethany,20.7,30.0,83.6,Safe,Unimproved,5125,7.2,3,6
2023-05-30,East Renee,26.6,6.3,71.1,Unsafe,Unimproved,2406,18.7,1,7
2024-12-07,Jessicaport,27.6,29.2,62.7,Safe,Improved,2663,23.1,4,6
2024-03-07,Millerton,30.9,6.3,43.7,Safe,Improved,8144,16.5,3,8
2023-12-07,Henryton,27.3,62.3,52.1,Unsafe,Improved,3413,18.9,1,9
2023-12-09,Port Charlesside,37.6,8.0,87.0,Safe,Improved,2606,2.4,4,3
2024-01-19,Youngstad,24.9,70.4,71.4,Unsafe,Unimproved,9070,19.5,4,12
2025-03-30,Claytonshire,28.6,10.2,58.5,Safe,Unimproved,9223,18.5,4,6
2024-12-29,Owenstown,35.3,22.5,68.7,Unsafe,Unimproved,1455,4.8,1,8
2023-08-24,Jeffreychester,26.6,58.8,66.1,Unsafe,Improved,5295,6.1,0,9
2024-05-31,Nicolebury,31.6,60.8,76.3,Unsafe,Improved,6436,22.4,4,15
2023-07-22,New Deannaside,19.4,8.5,81.3,Unsafe,Improved,9970,8.1,0,6
2024-07-29,Lake Cindy,37.4,0.1,57.6,Safe,Unimproved,1671,4.7,0,7
2024-09-19,Scottshire,20.3,13.2,83.0,Safe,Improved,6755,10.7,2,3
2024-11-07,Jerrybury,32.3,11.9,62.9,Safe,Unimproved,9571,17.6,1,4
2024-04-10,Leestad,30.2,1.4,52.4,Safe,Unimproved,7603,0.5,2,4
2023-12-25,Joseberg,26.1,21.8,86.2,Unsafe,Unimproved,8808,28.5,2,11
2024-12-07,Sandraburgh,31.5,50.9,88.6,Safe,Improved,8223,9.5,0,2
2023-05-29,West Anitafurt,21.3,6.0,84.5,Safe,Improved,6894,17.7,4,5
2024-07-09,East Marie,24.3,38.7,82.1,Unsafe,Unimproved,8572,7.8,2,12
2024-09-04,Oconnormouth,38.5,53.4,80.6,Safe,Unimproved,6435,5.0,3,9
2023-11-20,West Emilychester,36.9,8.6,44.1,Unsafe,Improved,9240,19.8,4,10
2025-05-02,West Lauraport,28.7,3.7,84.7,Safe,Improved,2196,28.5,1,3
2025-04-22,Lake Donnachester,33.5,32.0,63.9,Safe,Improved,8919,4.0,4,13
2024-05-08,Wallville,24.7,68.0,41.2,Safe,Unimproved,3519,5.4,2,11
2024-05-27,Laurieland,26.8,24.4,41.4,Unsafe,Improved,7465,10.2,0,2
2025-05-07,Michelleland,32.3,2.4,45.9,Safe,Unimproved,7878,0.8,0,10
2023-08-11,Jordanchester,21.7,46.8,65.6,Safe,Improved,4444,25.8,3,3
2025-05-09,West Robert,28.8,35.1,58.1,Unsafe,Unimproved,4815,3.5,1,7
2025-05-03,Martinezland,24.5,20.7,85.0,Unsafe,Unimproved,2281,3.8,0,7
2025-05-10,Farmerchester,26.7,3.9,49.8,Unsafe,Unimproved,8744,18.5,1,7
2024-12-27,West Michele,26.6,17.6,74.0,Unsafe,Unimproved,6993,27.4,0,5
2023-09-14,Lake Shellyland,34.1,28.3,77.7,Unsafe,Unimproved,8501,16.4,2,16
2024-08-24,South Tiffany,26.8,6.1,85.2,Unsafe,Unimproved,9683,28.3,1,10
2024-10-11,Johnsonborough,26.6,1.8,61.2,Safe,Unimproved,4742,0.8,4,8
2024-12-10,North Keith,30.8,14.4,76.9,Safe,Improved,688,28.4,3,4
2024-09-18,Wilsonborough,26.0,51.8,85.0,Unsafe,Improved,5691,22.2,1,10
2023-12-08,Lindsayville,26.7,56.8,66.2,Unsafe,Unimproved,1226,1.6,0,11
2025-02-20,North Lukemouth,32.1,17.9,53.1,Safe,Improved,1625,14.2,2,5
2024-05-16,Moonmouth,32.0,25.0,67.6,Unsafe,Unimproved,9595,7.5,0,9
2024-08-21,Cunninghamport,26.1,28.4,84.9,Unsafe,Unimproved,6696,23.7,3,7
2023-09-14,New Abigailchester,29.3,2.4,81.6,Unsafe,Improved,7657,10.9,1,3
2025-03-03,Sullivanborough,29.8,10.2,40.6,Unsafe,Unimproved,8735,28.8,1,8
2025-05-04,East Kevintown,21.3,5.0,83.7,Unsafe,Improved,1822,22.1,2,7
2024-07-18,East Jillside,33.6,109.2,76.4,Unsafe,Unimproved,179,19.4,1,12
2024-11-01,Morrowtown,31.2,1.5,42.4,Unsafe,Improved,408,10.8,2,6
2024-02-23,Lake Ashleebury,28.6,5.4,72.2,Unsafe,Unimproved,2557,12.9,4,12
2024-03-17,Jameshaven,26.0,4.0,83.9,Safe,Unimproved,6213,1.8,1,8
2024-07-28,South Shawnville,35.6,1.5,83.2,Unsafe,Improved,3473,27.0,0,5
2023-09-22,Port Adrianburgh,31.2,13.3,83.2,Unsafe,Improved,9485,20.4,0,6
2024-05-17,New Omar,28.4,12.1,80.8,Unsafe,Improved,1866,0.6,1,5
2023-06-23,Lake Robertshire,27.1,103.5,71.8,Safe,Unimproved,2045,25.2,1,5
2023-10-18,Leefort,19.3,13.7,78.4,Safe,Improved,4710,24.5,2,3
2023-11-09,New Kelly,26.6,7.8,67.0,Unsafe,Improved,8916,6.9,1,4
2024-08-24,North Alexis,35.1,6.8,46.5,Unsafe,Improved,944,28.3,3,10
2023-08-12,South Stevenberg,32.0,13.1,81.2,Unsafe,Improved,4230,7.1,1,6
2025-03-15,Davidhaven,27.8,59.7,49.1,Unsafe,Unimproved,1690,27.6,4,11
2024-02-01,Lake Michaelville,29.4,8.0,53.3,Unsafe,Improved,8772,6.4,3,7
2024-11-01,East Jamie,28.7,41.5,50.2,Unsafe,Unimproved,3562,22.5,0,3
2023-09-07,Port Eric,19.0,90.8,65.7,Safe,Improved,113,27.5,4,7
2025-04-26,Peterfort,29.6,25.8,72.1,Safe,Unimproved,5653,17.3,2,0
2024-08-31,North Debra,29.4,7.0,84.2,Unsafe,Unimproved,7295,16.9,1,7
2025-01-14,North Zachary,27.1,3.0,78.3,Unsafe,Unimproved,8779,10.9,2,7
2024-09-05,Lake Nicoleville,23.7,9.4,46.8,Safe,Improved,3441,11.0,3,5
2023-11-24,Kingfurt,34.5,31.1,45.8,Unsafe,Improved,7229,18.1,2,4
2024-08-26,Benderborough,29.6,33.3,44.7,Safe,Unimproved,8270,14.3,1,4
2025-02-04,Carrollmouth,31.4,5.4,63.1,Unsafe,Unimproved,7158,10.0,3,8
2024-02-13,Ryanfurt,33.0,11.9,68.9,Safe,Unimproved,3995,0.8,2,10
2025-03-05,North Jon,25.7,12.2,40.3,Unsafe,Unimproved,4191,6.9,2,8
2024-09-05,New Carmen,33.6,17.7,47.4,Unsafe,Improved,1282,29.4,1,7
2023-09-12,Port Karen,32.9,9.4,77.6,Unsafe,Improved,1658,28.2,3,6
2024-11-22,South Michaelmouth,28.4,2.2,65.7,Unsafe,Improved,5829,10.7,1,3
2023-07-28,Pattersonmouth,33.6,86.2,52.6,Unsafe,Unimproved,1657,1.8,1,22
2023-10-17,Rushburgh,28.4,45.2,79.1,Unsafe,Unimproved,6613,1.4,4,12
2024-03-20,North Katherine,17.0,1.9,49.4,Safe,Improved,5335,22.4,4,3
2023-07-19,North Kim,35.1,8.9,63.6,Safe,Unimproved,8609,19.0,3,6
2025-01-10,Lake Jamie,23.8,21.1,57.1,Safe,Unimproved,436,5.0,1,2
2023-12-05,North Kimberly,31.1,3.1,56.1,Unsafe,Improved,1431,8.1,1,7
2025-04-09,North Emily,25.8,2.1,73.8,Safe,Improved,1530,22.1,3,2
2024-09-16,Nicholasfort,32.4,36.8,84.9,Unsafe,Unimproved,7238,25.5,2,15
2025-02-11,South Carolineside,21.6,18.3,86.6,Safe,Unimproved,8643,24.6,1,5
2025-03-05,East Alexandrafort,23.4,19.7,57.7,Unsafe,Improved,8993,11.3,0,2
2023-11-17,Lake Mark,28.5,5.4,55.3,Safe,Improved,8714,4.6,1,0
2024-05-05,Jacobhaven,34.5,33.7,73.6,Unsafe,Unimproved,5780,28.5,1,11
2024-03-06,West Aaronbury,17.8,37.7,85.9,Safe,Improved,9735,10.8,4,2
2024-01-18,North Seanmouth,29.9,10.8,63.2,Safe,Improved,5344,21.4,2,2
2024-11-07,Johnsonchester,33.9,14.1,51.9,Safe,Improved,3827,3.4,1,3
2023-09-16,Simmonsmouth,29.4,27.6,80.1,Safe,Unimproved,8469,6.6,0,3
2024-02-24,Raymondmouth,30.3,3.0,78.0,Safe,Unimproved,6527,17.4,2,7
2025-01-01,Port Cynthiaville,20.3,77.6,62.9,Safe,Unimproved,5503,27.0,2,6
2025-01-18,Rodriguezport,32.2,4.4,63.8,Safe,Unimproved,7113,20.8,3,9
2024-07-07,North Ambershire,33.5,70.9,55.0,Unsafe,Unimproved,2286,15.3,3,11
2025-01-19,Port Joshua,17.5,40.3,44.3,Safe,Unimproved,4210,10.6,0,6
2024-06-22,West Troytown,28.9,6.5,42.1,Unsafe,Improved,8869,3.7,3,5
2024-05-23,Lake Paul,23.9,7.6,86.7,Unsafe,Unimproved,8297,26.7,3,11
2024-10-30,East Aaronmouth,24.7,46.6,47.0,Unsafe,Unimproved,7319,5.6,0,4
2024-11-26,New Matthewchester,27.9,0.8,67.9,Unsafe,Improved,9791,16.8,1,2
2024-11-21,New Andrew,25.5,16.8,69.3,Safe,Unimproved,2876,28.6,1,2
2024-06-16,Liuport,29.4,27.4,53.0,Safe,Improved,6704,14.7,1,0
2023-08-21,Lake Juliemouth,23.3,1.4,58.1,Safe,Unimproved,8379,8.3,0,5
2025-03-07,Haroldton,33.5,40.5,72.0,Safe,Improved,7033,20.9,3,5
2025-03-03,North Bryanview,29.5,49.3,72.4,Unsafe,Improved,3541,25.3,1,3
2024-10-21,Courtneyborough,31.1,6.9,66.8,Unsafe,Improved,6904,24.8,0,4
2023-11-30,North Hayley,26.9,47.0,56.1,Unsafe,Improved,995,28.2,2,8
2023-10-24,Shortfurt,25.3,46.7,81.9,Safe,Unimproved,7070,11.9,4,9
2024-02-25,Mitchelltown,27.7,14.2,40.2,Safe,Unimproved,5649,20.7,4,4
2023-10-08,Port Gordon,31.6,17.7,47.5,Unsafe,Unimproved,8204,21.3,2,8
2024-07-15,Davidshire,28.2,38.1,69.5,Unsafe,Unimproved,6075,9.1,2,14
2025-02-05,West Janetfurt,29.6,20.2,47.2,Safe,Improved,858,29.5,2,3
2024-07-20,Antonioland,28.4,16.6,77.4,Unsafe,Unimproved,5692,13.2,1,13
2024-06-09,Evansstad,20.9,12.7,63.7,Safe,Improved,9568,13.3,2,1
2023-09-14,Johnsonton,26.9,0.3,56.6,Unsafe,Improved,8941,15.6,1,6
2024-08-06,Aaronville,28.4,22.2,64.9,Safe,Improved,3394,23.1,0,0
2025-03-02,Port April,25.6,0.2,84.3,Unsafe,Unimproved,2680,29.1,1,5
2024-02-12,Lake Christopherberg,26.0,38.3,88.4,Unsafe,Unimproved,3172,11.8,1,6
2025-03-25,Lake Donaldtown,28.1,53.4,52.8,Unsafe,Unimproved,1945,25.6,2,14
2023-12-01,Evanfurt,29.3,61.9,79.1,Unsafe,Improved,2928,13.8,0,11
2023-09-29,East Sherri,26.7,12.7,68.8,Unsafe,Improved,7797,4.1,2,7
2024-07-05,Kaylabury,25.3,11.4,71.2,Safe,Improved,9695,27.4,0,0
2023-08-05,New Thomasland,31.0,2.0,86.1,Unsafe,Unimproved,2362,1.7,2,17
2024-02-05,New William,20.8,36.0,82.1,Safe,Improved,1992,8.5,1,1
2024-11-01,East Derekland,35.5,50.6,76.1,Safe,Unimproved,6124,3.4,4,13
2024-03-05,Jamesbury,31.1,5.9,89.7,Unsafe,Unimproved,5971,16.1,3,11
2023-12-29,Nielsenchester,27.5,10.6,43.6,Unsafe,Improved,6646,19.9,2,6
2024-05-04,Lake Stephenview,29.2,15.3,66.8,Unsafe,Unimproved,4435,9.3,3,10
2025-04-16,Alvarezfort,23.0,7.2,52.1,Unsafe,Improved,7795,25.0,2,6
2024-11-13,Port Kristinshire,23.9,3.7,42.2,Unsafe,Unimproved,3748,24.5,3,5
2024-07-31,East Jessica,22.8,2.3,72.2,Safe,Unimproved,3595,24.3,2,5
2024-06-01,Lewiston,30.7,0.6,70.0,Unsafe,Unimproved,2227,29.9,3,11
2024-10-29,Jamesborough,31.2,10.6,76.9,Safe,Unimproved,8914,4.8,4,8
2024-10-29,Port Jonathanburgh,28.3,12.6,43.6,Unsafe,Improved,1778,27.2,4,8
2024-12-17,Jaclynland,29.4,33.1,74.6,Unsafe,Unimproved,3764,27.9,0,5
2024-11-26,Lake Jamie,29.4,48.5,82.3,Unsafe,Improved,8067,22.2,1,4
2023-10-13,Richardtown,21.0,1.4,42.3,Safe,Unimproved,3448,28.6,0,1
2024-09-01,West Haleymouth,24.3,52.6,61.9,Safe,Unimproved,9903,5.9,1,10
2024-04-11,North Savannahfurt,32.4,26.7,53.6,Unsafe,Improved,162,8.4,0,7
2023-07-19,Port Nicolefurt,37.5,12.8,65.9,Safe,Unimproved,409,27.7,3,8
2024-05-07,East Willie,24.7,12.3,42.6,Safe,Unimproved,1697,25.4,1,3
2023-07-21,Michellefurt,28.4,28.6,87.0,Safe,Improved,831,6.2,0,0
2024-05-17,Lake Toddberg,30.0,4.2,50.7,Safe,Improved,5585,4.9,2,2
2024-06-17,East Shannon,24.3,21.1,78.7,Unsafe,Unimproved,7179,2.9,0,8
2023-12-26,Lake Edwin,29.5,0.4,81.1,Unsafe,Unimproved,3837,13.4,1,11
2024-03-04,Lake Ariel,21.9,10.8,68.1,Safe,Unimproved,3009,13.6,0,2
2024-03-13,Port Brandonville,28.9,30.6,85.2,Unsafe,Improved,1306,27.7,3,5
2024-12-07,Rodriguezchester,29.0,13.0,42.5,Unsafe,Unimproved,6379,4.3,2,8
2023-05-23,Diazberg,23.3,37.1,44.1,Safe,Unimproved,7327,29.1,4,9
2023-08-10,West Daniel,26.8,14.9,60.8,Safe,Improved,956,9.9,0,0
2024-11-18,Blackshire,24.5,35.1,74.3,Safe,Unimproved,3037,11.4,0,2
2025-03-27,East Michele,28.0,4.8,41.1,Safe,Unimproved,536,12.4,1,5
2024-08-26,Kaitlinstad,29.1,24.4,86.8,Unsafe,Unimproved,9048,10.4,4,17
2025-04-06,Walshstad,19.4,27.8,86.4,Unsafe,Unimproved,1510,22.2,1,9
2023-06-22,Palmerberg,23.3,14.0,74.2,Safe,Improved,4680,21.8,4,3
2023-11-01,Port Scott,34.3,17.7,81.5,Unsafe,Improved,5435,16.2,4,7
2023-06-11,Joshuastad,24.8,51.2,50.2,Unsafe,Unimproved,1307,11.0,3,9
2024-11-29,Johnshire,27.0,23.9,67.7,Safe,Unimproved,4788,22.8,1,8
2024-11-03,West Danabury,23.6,0.5,87.2,Safe,Unimproved,6677,2.6,1,4
2024-08-14,New Dylanbury,28.5,4.8,46.7,Unsafe,Unimproved,2816,18.5,1,3
2025-05-09,Simstown,22.6,6.2,50.9,Safe,Unimproved,5517,23.6,2,5
2023-08-04,Derrickborough,31.5,12.5,63.0,Unsafe,Unimproved,6904,1.8,3,9
2023-08-13,Garyshire,30.5,41.3,79.9,Unsafe,Improved,4784,17.2,0,6
2024-01-27,Turnertown,25.4,25.5,64.8,Unsafe,Unimproved,9317,16.5,4,18
2024-11-04,Michaelland,22.3,23.5,55.4,Safe,Unimproved,4616,10.2,0,1
2023-09-02,West Mariaview,25.1,8.8,88.5,Safe,Improved,1974,4.2,4,1
2024-05-07,Lake Richardview,26.0,21.7,76.4,Unsafe,Improved,3095,26.2,4,7
2025-03-15,South Melissastad,31.1,28.4,42.8,Unsafe,Unimproved,2218,9.7,3,16
2024-01-23,Lake Brandon,18.2,26.0,52.9,Safe,Unimproved,4376,3.5,3,6
2024-08-14,West Coreyborough,21.3,19.7,85.7,Safe,Improved,2126,23.8,4,6
2024-10-21,West Jessicafurt,29.7,8.8,44.0,Unsafe,Unimproved,4610,17.4,0,9
2023-06-09,North Davidview,36.3,22.8,70.5,Safe,Improved,6985,7.9,2,5
2024-02-12,Port Michael,33.6,1.8,46.2,Safe,Improved,8384,1.8,4,8
2025-04-18,New Anthony,25.2,74.4,55.8,Unsafe,Improved,474,10.3,2,6
2024-12-04,Antoniobury,29.2,7.2,84.5,Unsafe,Improved,1377,28.0,3,6
2025-05-05,Jenniferton,27.5,4.4,79.1,Unsafe,Unimproved,744,10.4,2,10
2025-01-13,West Kathy,26.1,10.9,86.7,Unsafe,Improved,4383,9.6,1,5
2023-08-19,North Matthew,33.5,3.7,48.6,Unsafe,Unimproved,8593,10.3,1,10
2024-07-22,Baileyland,34.6,58.7,69.2,Safe,Improved,8549,23.5,4,8
2024-12-09,Port Alyssahaven,29.1,11.9,80.3,Safe,Improved,4614,27.5,3,6
2024-10-18,Mossfort,27.5,11.6,61.1,Safe,Improved,5486,18.7,0,0
2025-04-26,West Melissamouth,32.6,27.7,57.9,Safe,Improved,7650,27.0,4,4
2024-07-24,Alejandrafort,31.5,10.8,65.2,Safe,Unimproved,7640,24.6,2,11
2024-06-25,Cooperborough,28.0,7.7,89.5,Unsafe,Improved,9200,1.2,4,7
2024-07-04,Port Bobby,38.6,18.4,60.7,Safe,Unimproved,6347,18.0,1,2
2024-08-01,Cabreraside,31.7,26.6,79.0,Safe,Improved,2186,5.0,1,1
2024-05-16,Margarethaven,24.9,10.7,60.2,Safe,Unimproved,8320,21.3,3,2
